Loan ID,Borrower Name,Branch,RM,Province,City / Town,Loan Product,Sector,Collateral Type,Issue Date,Maturity Date,Tenor (Mo),"Loan Amt
(USD)","Outstanding
(USD)","Int Rate
(%)","Annual Income
(USD)","DTI
(%)",DSCR,"Credit
Score","Emp Length
(Yrs)","Collateral
Value (USD)","LTV
(%)","Revol Util
(%)",DPD,"Missed
Pmts","Part
Pmts","Bank Bal
Trend","Inflation
Exp","Forex
Income",Loan Status
CNB-010001,Tambudzai Chirwa,Kwekwe Branch,T. Chinyoka,Harare Metropolitan,Harare,School Fees Loan,Transport & logistics,Residential property,20/8/2021,10/8/2023,24,"$6,300","$1,764",23.50%,"$42,700",37.60%,1.20x,670,20,"$2,356",74.90%,71.30%,0,2,0,Stable,High,No,Special mention
CNB-010002,Chipo Mahachi,Mutare Branch,T. Chinyoka,Mashonaland West,Kadoma,Salary-Backed Loan,Health & pharmaceuticals,Salary cession,8/1/2020,28/12/2021,24,$600,$168,33.40%,"$4,000",60.40%,1.08x,454,7,$417,40.30%,88.30%,0,1,3,Severely declining,High,No,Watch
CNB-010003,Rudo Taruvinga,Gweru Branch,N. Gumbo,Bulawayo Metropolitan,Bulawayo,Green Energy Loan,Transport & logistics,Motor vehicle,31/1/2023,26/1/2024,12,"$4,300","$1,204",23.60%,"$27,100",23.90%,3.02x,761,5,"$3,221",37.40%,11.80%,0,1,1,Improving,Low,Yes,Performing
CNB-010004,Primrose Majoni,Harare Main,B. Makoni,Masvingo,Chiredzi,Medical Finance,Retail trade,Residential property,30/3/2022,19/3/2024,24,"$2,500",$700,20.80%,"$14,200",31.50%,1.71x,772,15,$601,116.50%,22.00%,7,0,0,Improving,Medium,No,Special mention
CNB-010005,Dumisani Madzivire,Bulawayo Main,P. Mhlanga,Mashonaland West,Kadoma,Microfinance Loan,Construction,Equipment & machinery,14/9/2020,30/8/2023,36,"$6,500","$1,820",19.30%,"$48,800",24.90%,2.37x,813,10,"$2,069",88.00%,38.20%,0,1,1,Stable,Medium,Yes,Performing
CNB-010006,Tariro Kariwo,Harare Main,G. Mutasa,Mashonaland East,Marondera,Green Energy Loan,Health & pharmaceuticals,Residential property,15/2/2020,30/1/2023,36,"$11,600","$3,248",21.10%,"$80,600",9.60%,3.07x,739,2,"$6,266",51.80%,38.10%,0,1,1,Stable,Medium,No,Performing
CNB-010007,Mduduzi Nhiwatiwa,Kwekwe Branch,P. Mhlanga,Bulawayo Metropolitan,Bulawayo,Transport Fleet Finance,Food & beverages,Equipment & machinery,23/12/2023,2/12/2027,48,"$1,600","$1,374",34.00%,"$2,600",60.40%,1.12x,542,3,"$1,687",81.40%,90.40%,45,2,1,Stable,Medium,No,Watch
CNB-010008,Edmore Mukwewa,Bulawayo Main,S. Dube,Harare Metropolitan,Harare,Equipment Finance,Hospitality & tourism,Commercial property,21/1/2023,16/1/2024,12,"$39,800","$11,144",33.20%,"$197,600",62.60%,1.12x,407,15,"$16,506",67.50%,62.90%,0,2,1,Stable,Medium,No,Watch
CNB-010009,Munashe Sithole,Beitbridge Branch,B. Makoni,Mashonaland West,Kadoma,Medical Finance,Mining,Company guarantee,19/4/2021,3/4/2024,36,"$1,700",$476,22.70%,"$10,100",34.20%,1.45x,583,3,"$1,080",44.10%,62.90%,0,2,2,Stable,Low,No,Performing
CNB-010010,Sithembile Makamba,Mutare Branch,N. Gumbo,Bulawayo Metropolitan,Bulawayo,Youth Enterprise Loan,Agriculture,Commercial vehicle,31/3/2023,29/6/2023,3,"$5,200","$1,456",31.30%,"$32,000",42.30%,1.51x,627,7,"$1,473",98.90%,52.70%,30,0,0,Stable,High,No,Special mention
